Shift 25,Shift 25,Shift 26,Shift 26,Shift 27,Shift 27,Shift 28,Shift 28,Shift 29,Shift 29,Shift 30,Shift 30,Shift 31,Shift 31,Shift 32,Shift 32,Shift 33,Shift 33,Shift 34,Shift 34,Shift 35,Shift 35,Shift 36,Shift 36,Shift 37,Shift 37,Shift 38,Shift 38,Shift 39,Shift 39,Shift 40,Shift 40,Shift 41,Shift 41,Shift 42,Shift 42,Shift 43,Shift 43,Shift 44,Shift 44,Shift 45,Shift 45,Shift 46,Shift 46,Shift 47,Shift 47,Shift 48,Shift 48,Shift 49,Shift 49,Shift 50,Shift 50,Shift 51,Shift 51,Shift 52,Shift 52,Shift 53,Shift 53,Shift 54,Shift 54,Shift 55,Shift 55,Shift 56,Shift 56,Shift 57,Shift 57,Shift 58,Shift 58,Shift 59,Shift 59,Shift 60,Shift 60,Shift 61,Shift 61,Shift 62,Shift 62,Shift 63,Shift 63,Shift 64,Shift 64,Shift 65,Shift 65,Shift 66,Shift 66,Shift 67,Shift 67,Shift 68,Shift 68,Shift 69,Shift 69,Shift 70,Shift 70,Shift 71,Shift 71,Shift 72,Shift 72,Shift 73,Shift 73,Shift 74,Shift 74,Shift 75,Shift 75,Shift 76,Shift 76,Shift 77,Shift 77,Shift 78,Shift 78,Shift 79,Shift 79,Shift 80,Shift 80,Shift 81,Shift 81,Shift 82,Shift 82,Shift 83,Shift 83,Shift 84,Shift 84,Shift 85,Shift 85,Shift 86,Shift 86,Shift 87,Shift 87,Shift 88,Shift 88,Shift 89,Shift 89,Shift 90,Shift 90,Shift 91,Shift 91,Shift 92,Shift 92,Shift 93,Shift 93,Shift 94,Shift 94,Shift 95,Shift 95,Shift 96,Shift 96,Shift 97,Shift 97,Shift 98,Shift 98,Shift 99,Shift 99
562616,294280,581614,307865,574664,292389,580709,310059,577294,302629,575011,288901,587861,304169,570031,295015,565722,306792,565722,306792,556581,291311,567513,302472,557885,295040,550469,288169,546638,297839,551965,301003,536770,290544,543560,299893,536423,292790,532765,289680,536301,298900,528048,290294,519049,283412,520924,285876,517542,284761,509273,278535,507282,277284,504393,278321,494308,268272,491733,267835,497719,276103,494538,272922,493718,272892,496841,279398,482016,263864,484879,269420,483835,268909,455343,261434,467191,255087,447028,245432,349882,192101,356126,199650,356069,201416,351802,198667,349551,196391,349483,197336,343809,191840,343098,204959,343034,195397,337863,187498,333764,185007,333372,187332,332882,200124,329816,185592,336172,192880,323292,203527,327101,196699,325642,197194,327396,186885,324671,196669,323603,195532,317990,190941,288409,207256,315111,190820,310414,186105,312064,211485,315640,204771,304702,216830,309684,201667,308694,201769,300551,204860,301284,205983,299249,205823,303552,209463,299281,204307
579828,297608,588979,303414,593661,298600,594848,303049,596563,322733,588996,305499,581168,296388,584684,300360,577304,296013,577304,296013,570677,301253,571131,296721,562482,300837,568399,289984,554992,290182,549018,297691,544946,289614,544750,299916,543027,281169,538243,287826,537212,285430,528890,271281,533705,285514,527768,283180,529599,285047,522110,289652,512267,279219,514488,277199,500965,279994,504892,283524,500346,263889,497327,305896,500573,287167,490189,281189,497182,291517,483434,272075,487957,300284,485412,278967,480269,285323,455067,277816,361628,245158,359846,236827,354272,245213,360412,237804,356868,246595,351451,229135,338334,222466,345702,231692,350764,217203,345714,231050,344956,228493,330728,215034,339977,227485,336440,221163,332634,223507,335601,215937,332351,220344,328608,217612,329888,219775,323743,226720,327075,230357,323051,206501,307372,193838,316404,201722,324000,209695,316631,212867,310302,225718,297587,218336,314508,215566,315326,203393,311345,204828,307534,191852,308936,205036,311138,208085,299808,198135
580109,304446,569116,282143,595908,298930,597465,301181,590126,302490,590822,312169,585166,305145,582903,305804,563552,290620,563552,290620,574747,292235,564944,298173,566503,301138,559904,311769,558808,292809,551254,294871,554627,305694,549510,285572,543288,290219,534144,312244,540704,294704,533530,291632,535710,304642,529611,307161,528026,289125,524243,278207,518197,304215,519358,300871,511868,305309,505305,291762,507254,297077,507413,288790,501375,268261,498718,288870,500292,283338,488381,283043,491521,273479,484957,287180,477802,279173,458171,270062,359979,224820,355427,214026,358647,214449,357788,231093,355786,223677,353766,254711,351916,252610,353596,218226,349504,211550,347082,238276,344054,232990,341083,226245,342794,233401,333141,234914,337808,241373,333817,217316,335163,224226,330042,231475,327970,215817,329290,228830,325018,239571,325041,241146,322492,196168,323954,215738,318358,227589,321089,225383,314273,220902,274261,186732,310525,203711,312380,221560,309923,211716,308501,198493,307414,195187,304769,208260,300808,238860
574937,294312,595834,286998,602111,313630,594144,285878,588686,298581,588787,304237,579096,304753,582947,297491,573681,302728,573681,302728,569699,293017,567204,298324,564318,301328,566642,300270,560587,295012,547970,287157,556833,302356,546130,293643,546460,299700,542543,291472,540597,303183,534579,280895,533281,289168,530962,281147,529931,290919,515075,309293,519053,282986,514278,281739,509611,271894,508770,284852,508157,278904,503068,281452,504299,299757,493117,296004,489557,290453,490708,282074,490027,290962,486422,286643,484715,289522,452141,268469,360101,225819,359522,228534,360826,215549,359287,234161,359540,241868,350094,215985,347748,197812,348387,210178,351884,207090,346877,216366,345631,210795,344800,233880,342381,225057,340907,227274,337823,217997,335068,218003,336357,227456,338510,224541,325189,214760,326421,227146,326248,196033,325087,228077,323745,214376,326208,228864,319936,224775,316853,220002,318868,210844,287972,189133,315215,227566,309059,237556,304734,225228,311106,204800,305728,198578,308375,212150,305311,206912
577102,310322,603801,302729,596547,295233,594114,283156,596867,316636,590783,291347,585724,302033,579556,292614,577117,304734,577117,304734,572108,297182,570145,289405,567728,303586,566974,300721,559496,303322,557859,279241,554532,289248,550863,291318,547819,293485,544362,301701,542887,294638,532463,309631,533169,268224,528407,294609,519480,283208,518600,291429,518245,284520,511090,289078,509137,282715,504846,280532,505454,300306,502074,287753,504382,287914,495635,287081,490835,275755,486786,291991,486635,283696,484975,284635,481835,283610,460440,264608,361781,243653,357018,240536,357059,239088,358393,230424,359252,239268,359419,223320,353109,243658,350298,206003,349379,228243,344183,222064,342922,231778,341544,221601,335354,209037,337569,216547,337031,223528,334783,220247,335296,228319,332484,223951,330039,232023,326352,214777,331879,229526,324930,214387,319078,227569,319668,235767,319300,207220,315765,199795,316630,189945,274443,207235,317626,235050,308749,213784,307301,226769,308165,219742,308191,201607,300376,220374,302283,220325
577666,300748,601577,298273,598457,309218,592569,293098,583357,296529,586951,297471,584325,296720,586755,301093,574905,306520,574905,306520,574483,291437,569111,279357,566728,290901,563649,299778,572372,290450,551211,297912,550421,300896,548058,297489,543871,290472,541892,281904,542045,290087,539052,300038,529664,302094,534238,296119,526414,297961,510493,271816,515316,270195,514311,288136,513243,287879,510851,291232,507682,292748,499823,300564,501704,290105,501425,281020,499117,273872,492963,293627,494047,290913,488390,274219,498762,274428,460375,281771,359446,207662,356475,207998,357486,219835,358312,242793,357262,221088,355619,231405,349369,219904,352105,231337,348913,220395,349930,219727,346807,225884,338853,213965,345977,252381,335601,220144,327345,228352,336045,207345,333910,232329,330328,222847,331623,216863,327677,214426,329079,223518,328813,217828,308075,205252,316191,225757,321877,222548,312364,209262,317004,214520,307579,221263,311022,222635,307746,205170,312455,223276,307624,223322,303363,204904,304895,234471,306688,198353
581055,307426,599049,298289,597051,301595,595160,302949,596432,301457,586725,291286,582348,298169,581133,316461,579625,312713,579625,312713,576544,297786,569489,308261,566374,306365,559450,296676,581432,297340,552744,303427,551385,304241,546171,278972,545944,300119,543430,306049,537210,307467,533897,279323,532352,277903,531506,298048,521632,280045,525053,306822,517888,283054,511139,304157,514495,296746,507368,294832,503921,283953,503367,282277,499634,281097,489912,277786,499919,290738,492066,257282,491048,263445,490092,287835,501245,285715,458496,259769,363485,242411,363438,257639,360082,219737,362647,217582,355199,233256,354573,229108,356626,235533,347129,205139,345658,213460,349295,241159,346516,216289,336224,217466,340195,208490,335350,219740,340151,213908,331626,220750,334365,207832,330295,225912,329681,234974,330640,231394,323100,232534,326806,215061,306631,202666,324101,215889,323905,218541,316324,219234,317071,220442,311889,206349,312985,204843,314847,215848,308369,210361,311141,216109,308834,223900,304804,204274,301449,197854
576747,294490,614097,316691,598269,303663,591085,296041,590902,309975,583906,298901,582879,301293,583651,310209,569454,293602,569454,293602,581323,312957,565806,292579,561705,311442,562029,285633,589423,302791,549743,293590,551950,290376,549203,289908,546114,303193,541006,291646,540041,284452,530288,305669,526904,293230,530831,275779,529245,300041,517621,284010,515264,303424,509322,273230,509610,296707,505921,295844,507826,293787,500008,288751,496804,294728,500620,284079,494984,296000,487089,294468,483340,309410,482150,259027,503824,284550,453735,271241,363657,226372,359259,220243,359154,246286,352440,239405,346830,239007,351365,205798,356322,217949,341957,237822,350248,263753,340459,210542,343404,219758,358759,211407,335391,224412,337868,225888,332871,211628,337355,212827,336787,227700,333062,214726,332897,220491,328892,214881,330572,248279,325010,223892,316372,198245,321732,226207,317879,237549,316314,227998,318353,229546,318480,203250,315911,224760,312272,236226,311448,218618,307327,204571,308769,212654,306102,213095,306748,219978
579985,303064,623730,299232,604064,302731,599630,312148,594199,307280,589491,316500,583270,305167,583059,300905,570126,298286,570126,298286,569598,307843,568171,295551,563695,286029,561275,300979,586612,286315,554869,294627,552222,290830,535878,305206,543067,283419,537698,279900,538155,303930,537338,306473,532707,295091,530337,293273,531396,284861,526235,315204,517128,295774,511892,284960,508097,275463,502259,285232,507765,289160,506534,285182,501220,263757,500173,299850,501001,277948,493800,293222,486147,276510,487852,286138,503007,283390,478379,264737,361151,224130,363052,227474,360257,225797,373184,232302,341614,235652,358439,239717,351155,239448,338562,213730,350309,227731,347659,251052,343512,224717,356332,228830,334738,210664,343609,206165,335816,219302,333802,212753,329231,208068,331858,232108,332798,225428,330612,217815,325591,226285,325122,221835,316657,206313,316630,208128,317316,215399,320519,242086,314611,208040,316505,225060,313683,206600,311269,210510,310441,224865,316080,214156,307515,217140,305529,211608,305591,221035
577832,296263,623410,292652,611964,302903,597044,309457,589132,299665,601796,300601,583999,310811,584850,308850,573444,303481,573444,303481,570163,285356,569560,296058,566213,302020,581945,308570,581587,278586,551398,275940,574787,297447,547172,288812,551282,285578,547418,280015,542067,298700,533753,292844,532070,294526,528821,290491,533231,291805,523407,297320,517158,282996,516442,282899,520073,291917,506521,279977,501085,276179,506048,293876,497733,280053,499858,277204,497333,294373,487197,276131,487532,282152,488987,273455,501604,264023,482644,277646,364670,227432,360391,222290,359684,242314,365747,209997,343858,235984,351155,215717,355478,237657,334459,210226,345621,223169,346019,198864,349542,222871,361138,223802,336601,217779,350576,208002,339389,210863,332527,227286,333082,212876,331325,219110,328251,222038,328231,218671,324053,212122,326259,198004,315626,224662,325855,224086,324387,220353,315402,191721,319130,209803,318335,222000,311777,223964,313775,209676,310545,215322,308345,203078,310177,222381,301545,210903,302446,235301
