height,Date,nonce,adder,difficulty,shift,Merit6Gap,Gapstart,
1,21-10-2014,33,411257,16.00000000,20,16.5935313166,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
2,21-10-2014,439,796147,16.00000000,20,17.0775993260,80153722430073457935443720113585467290635326030005400647414284214303616470868567539,
3,21-10-2014,201,615247,16.00046987,20,16.1333613078,71908485206416482846230108247658963064074947492895705344103697372372346591716664143,
4,21-10-2014,125,102053,16.00604454,20,16.0615783072,116105081719935850966703355053014242517364205803538988184766980332723067850266349221,
5,21-10-2014,6,530117,16.01074756,20,16.4053323136,104372421321133576712748347478811458945518049011830177718101568156067647237626795717,
6,21-10-2014,321,548183,16.02761275,20,16.8726003218,67628179781671924723784516975281413589712779781901019075471918096214818255877463383,
7,21-10-2014,289,165441,16.03341070,20,16.2168573096,81700701875133359473260535852314633632711880505376214191000184862699313890299381313,
8,21-10-2014,77,780853,16.03754894,20,16.5284143160,107395517968653406507257660674285706882120157018897196046122686796134682724300220981,
9,21-10-2014,49,4139,16.04487371,20,16.2700843112,116967318473886584191140898873990403021873867231513002236313951470859560486148509739,
10,21-10-2014,6,186105,16.05586360,20,16.0926003074,90929117113456897493989513518759901368513985321278816292163643194943074089337804537,
11,21-10-2014,10,229067,16.07114494,20,17.0506273258,96410493356032595676024094105927142742090516690640126757938517208255529581511147211,
12,21-10-2014,306,42667,16.08213483,20,19.7826203778,87035677105715206575021398423631067542229065998778329124058541881976228904812193451,
13,21-10-2014,34,678423,16.08675199,20,17.4063993318,60955976667602465723617337828289272171021027858694178251998006199165318368721525271,
14,21-10-2014,82,203003,16.10003792,20,16.9899503244,83680414723107641103608386752588931660501965530677440852028291636784550546344450299,
15,21-10-2014,262,568045,16.10771804,20,16.5040473156,111767871151937833639577268494732183347454058820395920852012323018775497896884742893,
16,21-10-2014,58,971705,16.11032285,20,16.6547433180,83696866795217590024310014816552667002527672187982547563211675250347088919220114361,
17,21-10-2014,95,32077,16.11882840,20,17.0494793250,61084968553316543073931841268501996995942781487337146274120506792104046643040517453,
18,21-10-2014,269,701277,16.12582746,20,17.4965803342,89959070869467601894998758065329147463774865321228197042495892329015605800380052317,
19,21-10-2014,165,396131,16.13350759,20,16.3509483120,74085558686559120994714105959170785789768308898447854300134452034344342951368723299,
20,21-10-2014,65,367495,16.14035345,20,16.8698873224,99520128116806241707586987400821628638733654306510921233115218366275686221593549703,
21,21-10-2014,2,79435,16.14719930,20,16.5882403170,98478294941896298179083818657139976547441503640539223696368409992977787699358414411,
22,21-10-2014,0,490981,16.16135688,20,17.0026763246,81591848008674849141661694778463589809794198260394078473106867375678903756616334821,
23,21-10-2014,97,413487,16.17663822,20,16.7159763192,85255644571290134742707830804380774712282440138056878860174053966825886671500103471,
24,21-10-2014,73,348309,16.18348408,20,16.4588663146,102902501969974307245997366815601881266970908055687689305434326846462854251123396757,
25,21-10-2014,63,1022583,16.19064260,20,16.6271633170,62959093152073761990569185757116978199402136307795424858878576755566585300599675511,
26,21-10-2014,49,482983,16.19796737,20,16.7304873194,81416021312342709799130076351547674290182510116061258980441670961314906195361226407,
27,21-10-2014,53,171243,16.20723134,20,16.5228603154,79650698621719302133122590159134101904475816510716189481148764714004468303649742059,
28,21-10-2014,94,299983,16.21622582,20,16.5753013168,101326762677717452420828712438005500210120969858635061930748084825509794481573237711,
29,21-10-2014,20,1000479,16.22767579,20,16.8459003218,91497609463266629435142605361636075000817007568638843071915032075572356694557017119,
30,21-10-2014,133,99545,16.24096172,20,18.9380583618,93174898786342583218712414297150516330056605064441660015738299471190105561721046233,
31,21-10-2014,38,668677,16.24970409,20,16.4469193138,72690574599697865934473499528268939476337630910189368058925259190454525377188082693,
32,21-10-2014,109,415727,16.26386167,20,18.2318093480,78712022514217634972519394432297297872912931931772345140680396615466594099336206319,
33,21-10-2014,61,792353,16.27285615,20,18.3020013490,65374909772128867349146821777072678903021429610318418779550333269812772644112308001,
34,21-10-2014,3,919617,16.28136170,20,16.7798603200,66380867056061079794518588523432140417455113944586976286298223860962996435861506113,
35,21-10-2014,6,128817,16.29551928,20,16.9955013246,88439988290680435657400194685259940018483634316582407393704042927616030008756270897,
36,21-10-2014,129,812621,16.31509208,20,16.3874463128,78919346248816115247097885139837898626830393484047360466964862084805306344825185869,
37,21-10-2014,27,134631,16.32241685,20,16.4483563144,102958523016991925250436600343525979575314390261746420775865722925673382486571355623,
38,21-10-2014,257,348559,16.34198964,20,18.6703943566,88959596723356432217759224367261482423626829786330850806576652837963064664857596303,
39,21-10-2014,671,1045035,16.34491134,20,17.2115183288,92338610186275718544765795633014747430125996169677543928878238286439593672929440299,
40,21-10-2014,222,1042017,16.34565491,20,16.4931003154,112402376878059405632516633777140467986358185164433236225121341231554432342092146273,
41,21-10-2014,41,922323,16.34820931,20,16.4090233130,69360145688113391832154555482584196905063657787755284419446294532909720703311155923,
42,21-10-2014,15,785703,16.35919920,20,16.7009903192,101189908807777970231816282123670883201593703741220239639782129112841701821580573991,
43,21-10-2014,110,757469,16.36770475,20,16.6312953180,109552019848414833436942325576275798232805921251367784197302589416139374710865235677,
44,21-10-2014,369,552549,16.37520316,20,16.9152443230,84997164695842616228510989760087796630269040146740329706835507498673654570644172389,
45,21-10-2014,33,707679,16.37801635,20,16.5458343154,61105936168069898764817629466720828585255592985407683837925816521943563207510248543,
46,21-10-2014,31,188257,16.38756981,20,17.2345073292,90263483416726213706579774777741891119272761049685433691694850686501789268579639137,
47,21-10-2014,83,315237,16.39360457,20,17.5022023346,106329877706806736448539576992375237793754741897954913055887697868795082619371179877,
48,21-10-2014,112,741467,16.40505455,20,17.6207173360,65055055531599753334513669709062147408195844250533948775147726859416913255912394843,
49,21-10-2014,53,109739,16.41834047,20,17.9628363426,67878825425885725541622451104266672984825047569916567137676870154327621223613312171,
