Gap,C??,Merit6,Gapcoin,Date,Digits,Gapstart,
3166,C??,16.593531,Gapcoin,21-10-2014,83,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
3260,C??,17.077599,Gapcoin,21-10-2014,83,80153722430073457935443720113585467290635326030005400647414284214303616470868567539,
3078,C??,16.133361,Gapcoin,21-10-2014,83,71908485206416482846230108247658963064074947492895705344103697372372346591716664143,
3072,C??,16.061578,Gapcoin,21-10-2014,84,116105081719935850966703355053014242517364205803538988184766980332723067850266349221,
3136,C??,16.405332,Gapcoin,21-10-2014,84,104372421321133576712748347478811458945518049011830177718101568156067647237626795717,
3218,C??,16.872600,Gapcoin,21-10-2014,83,67628179781671924723784516975281413589712779781901019075471918096214818255877463383,
3096,C??,16.216857,Gapcoin,21-10-2014,83,81700701875133359473260535852314633632711880505376214191000184862699313890299381313,
3160,C??,16.528414,Gapcoin,21-10-2014,84,107395517968653406507257660674285706882120157018897196046122686796134682724300220981,
3112,C??,16.270084,Gapcoin,21-10-2014,84,116967318473886584191140898873990403021873867231513002236313951470859560486148509739,
3074,C??,16.092600,Gapcoin,21-10-2014,83,90929117113456897493989513518759901368513985321278816292163643194943074089337804537,
3258,C??,17.050627,Gapcoin,21-10-2014,83,96410493356032595676024094105927142742090516690640126757938517208255529581511147211,
3778,C??,19.782620,Gapcoin,21-10-2014,83,87035677105715206575021398423631067542229065998778329124058541881976228904812193451,
3318,C??,17.406399,Gapcoin,21-10-2014,83,60955976667602465723617337828289272171021027858694178251998006199165318368721525271,
3244,C??,16.989950,Gapcoin,21-10-2014,83,83680414723107641103608386752588931660501965530677440852028291636784550546344450299,
3156,C??,16.504047,Gapcoin,21-10-2014,84,111767871151937833639577268494732183347454058820395920852012323018775497896884742893,
3180,C??,16.654743,Gapcoin,21-10-2014,83,83696866795217590024310014816552667002527672187982547563211675250347088919220114361,
3250,C??,17.049479,Gapcoin,21-10-2014,83,61084968553316543073931841268501996995942781487337146274120506792104046643040517453,
3342,C??,17.496580,Gapcoin,21-10-2014,83,89959070869467601894998758065329147463774865321228197042495892329015605800380052317,
3120,C??,16.350948,Gapcoin,21-10-2014,83,74085558686559120994714105959170785789768308898447854300134452034344342951368723299,
3224,C??,16.869887,Gapcoin,21-10-2014,83,99520128116806241707586987400821628638733654306510921233115218366275686221593549703,
3170,C??,16.588240,Gapcoin,21-10-2014,83,98478294941896298179083818657139976547441503640539223696368409992977787699358414411,
3246,C??,17.002676,Gapcoin,21-10-2014,83,81591848008674849141661694778463589809794198260394078473106867375678903756616334821,
3192,C??,16.715976,Gapcoin,21-10-2014,83,85255644571290134742707830804380774712282440138056878860174053966825886671500103471,
3146,C??,16.458866,Gapcoin,21-10-2014,84,102902501969974307245997366815601881266970908055687689305434326846462854251123396757,
3170,C??,16.627163,Gapcoin,21-10-2014,83,62959093152073761990569185757116978199402136307795424858878576755566585300599675511,
3194,C??,16.730487,Gapcoin,21-10-2014,83,81416021312342709799130076351547674290182510116061258980441670961314906195361226407,
3154,C??,16.522860,Gapcoin,21-10-2014,83,79650698621719302133122590159134101904475816510716189481148764714004468303649742059,
3168,C??,16.575301,Gapcoin,21-10-2014,84,101326762677717452420828712438005500210120969858635061930748084825509794481573237711,
3218,C??,16.845900,Gapcoin,21-10-2014,83,91497609463266629435142605361636075000817007568638843071915032075572356694557017119,
3618,C??,18.938058,Gapcoin,21-10-2014,83,93174898786342583218712414297150516330056605064441660015738299471190105561721046233,
3138,C??,16.446919,Gapcoin,21-10-2014,83,72690574599697865934473499528268939476337630910189368058925259190454525377188082693,
3480,C??,18.231809,Gapcoin,21-10-2014,83,78712022514217634972519394432297297872912931931772345140680396615466594099336206319,
3490,C??,18.302001,Gapcoin,21-10-2014,83,65374909772128867349146821777072678903021429610318418779550333269812772644112308001,
3200,C??,16.779860,Gapcoin,21-10-2014,83,66380867056061079794518588523432140417455113944586976286298223860962996435861506113,
3246,C??,16.995501,Gapcoin,21-10-2014,83,88439988290680435657400194685259940018483634316582407393704042927616030008756270897,
3128,C??,16.387446,Gapcoin,21-10-2014,83,78919346248816115247097885139837898626830393484047360466964862084805306344825185869,
3144,C??,16.448356,Gapcoin,21-10-2014,84,102958523016991925250436600343525979575314390261746420775865722925673382486571355623,
3566,C??,18.670394,Gapcoin,21-10-2014,83,88959596723356432217759224367261482423626829786330850806576652837963064664857596303,
3288,C??,17.211518,Gapcoin,21-10-2014,83,92338610186275718544765795633014747430125996169677543928878238286439593672929440299,
3154,C??,16.493100,Gapcoin,21-10-2014,84,112402376878059405632516633777140467986358185164433236225121341231554432342092146273,
3130,C??,16.409023,Gapcoin,21-10-2014,83,69360145688113391832154555482584196905063657787755284419446294532909720703311155923,
3192,C??,16.700990,Gapcoin,21-10-2014,84,101189908807777970231816282123670883201593703741220239639782129112841701821580573991,
3180,C??,16.631295,Gapcoin,21-10-2014,84,109552019848414833436942325576275798232805921251367784197302589416139374710865235677,
3230,C??,16.915244,Gapcoin,21-10-2014,83,84997164695842616228510989760087796630269040146740329706835507498673654570644172389,
3154,C??,16.545834,Gapcoin,21-10-2014,83,61105936168069898764817629466720828585255592985407683837925816521943563207510248543,
3292,C??,17.234507,Gapcoin,21-10-2014,83,90263483416726213706579774777741891119272761049685433691694850686501789268579639137,
3346,C??,17.502202,Gapcoin,21-10-2014,84,106329877706806736448539576992375237793754741897954913055887697868795082619371179877,
3360,C??,17.620717,Gapcoin,21-10-2014,83,65055055531599753334513669709062147408195844250533948775147726859416913255912394843,
3426,C??,17.962836,Gapcoin,21-10-2014,83,67878825425885725541622451104266672984825047569916567137676870154327621223613312171,
3136,C??,16.446794,Gapcoin,21-10-2014,83,64460755723957253140416640020548681211996883613254520179499817143984276860802911027,
3236,C??,16.927299,Gapcoin,21-10-2014,84,105751337828667678566473989114205873440575179490025670926468121801215751859725999241,
3156,C??,16.501446,Gapcoin,21-10-2014,84,115187817769444508083396207119958466948778093600788903518875481301116579263686154101,
3394,C??,17.756122,Gapcoin,21-10-2014,84,103125133446620262107799545477069849979101374069088035581797497027747719452601059563,
3750,C??,19.608279,Gapcoin,21-10-2014,84,114017766207878958287924530229115815147517491961646228506654166002639570866320204687,
3590,C??,18.770148,Gapcoin,21-10-2014,84,115786516658215919791553552019351089397306313488859342583413457800647498089340770849,
3324,C??,17.420713,Gapcoin,21-10-2014,83,73548596380035032206507525948957387946814630551673603146859975408062197929230457419,
3374,C??,17.652386,Gapcoin,21-10-2014,84,102128724316718752336706125123142009535205995218132338716989298111943514317755036827,
3280,C??,17.183985,Gapcoin,21-10-2014,83,78727865384043648330610931483733301796997154154170951235573099601542577972562828519,
3536,C??,18.543782,Gapcoin,21-10-2014,83,65004905956427381749096827802507909192610967841656445708541274921624102248053551551,
3180,C??,16.652301,Gapcoin,21-10-2014,83,86073789103181302208923752904817637928405594806258786512047471456331064218026166579,
3486,C??,18.284132,Gapcoin,21-10-2014,83,63289730326936688526684201837591613957889480913414580723291406756564627368852714127,
3290,C??,17.204101,Gapcoin,21-10-2014,84,112626820631196331576894547378244363594200233360710231192082603770068003321073871073,
3630,C??,18.982134,Gapcoin,21-10-2014,84,112511770456526774725602718275237225879818974231370432956880963901882088122084516067,
3260,C??,17.062179,Gapcoin,21-10-2014,83,95246454347105921471925215028506903063203824689692839468095014865636707954190735321,
3552,C??,18.575412,Gapcoin,21-10-2014,84,111177331426663520961639903422631477323938094385050289447453165067285160450710952377,
3300,C??,17.258008,Gapcoin,21-10-2014,84,110629335246853782739110969619439797357325049714999857266075806465171877150319295419,
3446,C??,18.040716,Gapcoin,21-10-2014,83,90285571000464431730619328809845426136231480039310985997668458844727517924985887141,
3188,C??,16.704033,Gapcoin,21-10-2014,83,76916119586684821938229804041877853947028847515265392422646160581610294914945773919,
3336,C??,17.457803,Gapcoin,21-10-2014,83,97508169581657050259349617227057814389335881734452769186604219738970269446260720173,
3570,C??,18.690129,Gapcoin,21-10-2014,83,90063549289354078039740408217972014936631241583132161455211067692313029333067292591,
3358,C??,17.567610,Gapcoin,21-10-2014,84,103320441762205293688954889386172794238321049700054508229809284669095060374427687421,
3216,C??,16.837581,Gapcoin,21-10-2014,83,89291816249286577482291300279900851245655879611801269872739230046574836412738881371,
3220,C??,16.836916,Gapcoin,21-10-2014,84,114094419343462179721295762818066361319336972645393518142809366147581951524455829193,
3804,C??,19.927301,Gapcoin,21-10-2014,83,80197758480671015463294477731321648931405340797954217882932527120385010476303192377,
3532,C??,18.466935,Gapcoin,21-10-2014,84,115742044988809356402909478563111164148513335660696552691451162106122389935332500277,
3930,C??,20.564750,Gapcoin,21-10-2014,83,98920382676337409433678010317295588885226606376877600882780072251374011469774658611,
3330,C??,17.428965,Gapcoin,21-10-2014,83,94808899859957927393555532238686318405825230292989267498954784783198391388780415427,
3198,C??,16.749964,Gapcoin,21-10-2014,83,82796866837405569035937322112208933634705099606867988179369065544990694124049587799,
3242,C??,16.960394,Gapcoin,21-10-2014,84,103733615421062944022504307348805082012506405512396695522369051417076315085545006551,
3360,C??,17.585770,Gapcoin,21-10-2014,83,95028138317707872988129394994467076675240229720564204954954222004703405820680674699,
3452,C??,18.055911,Gapcoin,21-10-2014,84,107181845307413729537684608679655699818665550002137827767238364661634466078456667679,
3272,C??,17.112226,Gapcoin,21-10-2014,84,109828819686079547354062153669693127237966053865739953548244414347510768083770372189,
3280,C??,17.199581,Gapcoin,21-10-2014,83,66216101747711481967701137298257057054161303465203732095366547585567501344229546079,
3242,C??,16.966889,Gapcoin,21-10-2014,83,96414118313198138876046582106267259983713735221966770536113494479366745706043597557,
3400,C??,17.784046,Gapcoin,21-10-2014,84,107039556477215113773642582916595033425391036683347482108075588165701344553271357791,
3266,C??,17.089061,Gapcoin,21-10-2014,84,100184209163787690782243063048802829569638108593963933092662627723958991065020802383,
3228,C??,16.879176,Gapcoin,21-10-2014,84,113541380452914515608075686630336533404107933354595100818905702776348126187527162779,
3540,C??,18.514775,Gapcoin,21-10-2014,84,108771784331462670191782045083432204696736031380374396735645113851204332889306242773,
3234,C??,16.955345,Gapcoin,21-10-2014,83,68505435363531546473986425176166522878575561486542843020702532390345109660202345419,
3540,C??,18.521556,Gapcoin,21-10-2014,84,101418347053204986440420934942255023869042050303104228255307946882763611993079103241,
3278,C??,17.173876,Gapcoin,21-10-2014,83,78406200849000764158933748592416635156813738767587685150142095898352210512488007139,
3256,C??,17.033499,Gapcoin,21-10-2014,84,103890451908008965711056132785379977432959557325648045577712608729859913860284815597,
3446,C??,18.073132,Gapcoin,21-10-2014,83,64095372305323484521476624966471128563214482688497518080499042548481787362579397751,
3320,C??,17.382577,Gapcoin,21-10-2014,83,88805790480592614835943959284809498717269206583638648909083157676100422847361651221,
3350,C??,17.553181,Gapcoin,21-10-2014,83,76645911055610028492109057883666703405842205721266751224440770684095696657384695897,
3252,C??,17.046532,Gapcoin,21-10-2014,83,70990630816965724727600375061589428179485954663039647984129775687510271632971280649,
3284,C??,17.170582,Gapcoin,21-10-2014,84,115347540721448670592539676631517907490872805040010244003366545630880885919060755057,
3276,C??,17.176770,Gapcoin,21-10-2014,83,67579367287182642372191425833223601363921886230435483363184133793252224021608393721,
3336,C??,17.474544,Gapcoin,21-10-2014,83,81196540982541361941380292215935291815056814894747642645949482885684621383176414667,
3290,C??,17.237737,Gapcoin,21-10-2014,83,77549576039887949339799678415590823508671701295677331683264448874091966503171846411,
3244,C??,17.005726,Gapcoin,21-10-2014,83,70096812732766074830355175493009653438719258028793624054630102139157958423636763433,
3522,C??,18.413647,Gapcoin,21-10-2014,84,116953954365886340254305137411006352270056558546035024389095728175971332359814085711,
3344,C??,17.504225,Gapcoin,21-10-2014,83,92776687349937615038966940461709946470133251117816672360306149028527099584717983353,
3270,C??,17.111303,Gapcoin,21-10-2014,83,98727057144434201219185920960994365366972969962938648146332716260086333706069134497,
3272,C??,17.108690,Gapcoin,21-10-2014,84,114256365436554621805256666721416448446689291461265929089127290166731752918254922391,
3330,C??,17.418496,Gapcoin,21-10-2014,84,106345707581922754843880707803109512189288607819156735104779649198974988618357315193,
3462,C??,18.153866,Gapcoin,21-10-2014,83,66272942576695316631622024399750579422139354797845286807096246486483283532912583877,
3338,C??,17.486320,Gapcoin,21-10-2014,83,80052592591299235267336595604461945552681007149826957076942478915003873327459344373,
3280,C??,17.157908,Gapcoin,21-10-2014,84,105224482649652328001948811434817433272811393498828076985419219705422563368503221259,
3408,C??,17.866149,Gapcoin,21-10-2014,83,69574655543646847026463764656921021056429210162508121822736817650014620589514760069,
3260,C??,17.043780,Gapcoin,21-10-2014,84,117064657590780739138206072181891316335040574038587429959145661326041681670311817229,
3390,C??,17.779912,Gapcoin,21-10-2014,83,63765213863633196273946516909215258427737995203717962338800494316021555989611246429,
3374,C??,17.687589,Gapcoin,21-10-2014,83,69813683055851505714941890852281697536113540678438672992353775749578677384781473919,
3414,C??,17.890524,Gapcoin,21-10-2014,83,75029430217188420968996344200617825171280884013799982451869995519051145261951755943,
