height,Date,nonce,adder,difficulty,shift,Merit6Gap,Gapstart,
1,21-10-2014,33,411257,16.00000000,20,16.593531,3166,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
1,21-10-2014,33,411257,16.00000000,20,16.593531,3166,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
2,21-10-2014,439,796147,16.00000000,20,17.077599,3260,80153722430073457935443720113585467290635326030005400647414284214303616470868567539,
3,21-10-2014,201,615247,16.00046987,20,16.133361,3078,71908485206416482846230108247658963064074947492895705344103697372372346591716664143,
4,21-10-2014,125,102053,16.00604454,20,16.061578,3072,116105081719935850966703355053014242517364205803538988184766980332723067850266349221,
5,21-10-2014,6,530117,16.01074756,20,16.405332,3136,104372421321133576712748347478811458945518049011830177718101568156067647237626795717,
6,21-10-2014,321,548183,16.02761275,20,16.872600,3218,67628179781671924723784516975281413589712779781901019075471918096214818255877463383,
7,21-10-2014,289,165441,16.03341070,20,16.216857,3096,81700701875133359473260535852314633632711880505376214191000184862699313890299381313,
8,21-10-2014,77,780853,16.03754894,20,16.528414,3160,107395517968653406507257660674285706882120157018897196046122686796134682724300220981,
9,21-10-2014,49,4139,16.04487371,20,16.270084,3112,116967318473886584191140898873990403021873867231513002236313951470859560486148509739,
10,21-10-2014,6,186105,16.05586360,20,16.092600,3074,90929117113456897493989513518759901368513985321278816292163643194943074089337804537,
11,21-10-2014,10,229067,16.07114494,20,17.050627,3258,96410493356032595676024094105927142742090516690640126757938517208255529581511147211,
12,21-10-2014,306,42667,16.08213483,20,19.782620,3778,87035677105715206575021398423631067542229065998778329124058541881976228904812193451,
13,21-10-2014,34,678423,16.08675199,20,17.406399,3318,60955976667602465723617337828289272171021027858694178251998006199165318368721525271,
14,21-10-2014,82,203003,16.10003792,20,16.989950,3244,83680414723107641103608386752588931660501965530677440852028291636784550546344450299,
15,21-10-2014,262,568045,16.10771804,20,16.504047,3156,111767871151937833639577268494732183347454058820395920852012323018775497896884742893,
16,21-10-2014,58,971705,16.11032285,20,16.654743,3180,83696866795217590024310014816552667002527672187982547563211675250347088919220114361,
17,21-10-2014,95,32077,16.11882840,20,17.049479,3250,61084968553316543073931841268501996995942781487337146274120506792104046643040517453,
18,21-10-2014,269,701277,16.12582746,20,17.496580,3342,89959070869467601894998758065329147463774865321228197042495892329015605800380052317,
19,21-10-2014,165,396131,16.13350759,20,16.350948,3120,74085558686559120994714105959170785789768308898447854300134452034344342951368723299,
20,21-10-2014,65,367495,16.14035345,20,16.869887,3224,99520128116806241707586987400821628638733654306510921233115218366275686221593549703,
