Gap,C??,Merit6,Gapcoin,Date,Digits,Gapstart,
3166,C??,16.593531,,Gapcoin,21-10-2014,83,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
3166,C??,16.593531,,Gapcoin,21-10-2014,83,72809905705397478174831537311568985940772091297267219912928470301065215001673221753,
3260,C??,17.077599,,Gapcoin,21-10-2014,83,80153722430073457935443720113585467290635326030005400647414284214303616470868567539,
3078,C??,16.133361,,Gapcoin,21-10-2014,83,71908485206416482846230108247658963064074947492895705344103697372372346591716664143,
3072,C??,16.061578,,Gapcoin,21-10-2014,84,116105081719935850966703355053014242517364205803538988184766980332723067850266349221,
3136,C??,16.405332,,Gapcoin,21-10-2014,84,104372421321133576712748347478811458945518049011830177718101568156067647237626795717,
3218,C??,16.872600,,Gapcoin,21-10-2014,83,67628179781671924723784516975281413589712779781901019075471918096214818255877463383,
3096,C??,16.216857,,Gapcoin,21-10-2014,83,81700701875133359473260535852314633632711880505376214191000184862699313890299381313,
3160,C??,16.528414,,Gapcoin,21-10-2014,84,107395517968653406507257660674285706882120157018897196046122686796134682724300220981,
3112,C??,16.270084,,Gapcoin,21-10-2014,84,116967318473886584191140898873990403021873867231513002236313951470859560486148509739,
3074,C??,16.092600,,Gapcoin,21-10-2014,83,90929117113456897493989513518759901368513985321278816292163643194943074089337804537,
3258,C??,17.050627,,Gapcoin,21-10-2014,83,96410493356032595676024094105927142742090516690640126757938517208255529581511147211,
3778,C??,19.782620,,Gapcoin,21-10-2014,83,87035677105715206575021398423631067542229065998778329124058541881976228904812193451,
3318,C??,17.406399,,Gapcoin,21-10-2014,83,60955976667602465723617337828289272171021027858694178251998006199165318368721525271,
3244,C??,16.989950,,Gapcoin,21-10-2014,83,83680414723107641103608386752588931660501965530677440852028291636784550546344450299,
3156,C??,16.504047,,Gapcoin,21-10-2014,84,111767871151937833639577268494732183347454058820395920852012323018775497896884742893,
3180,C??,16.654743,,Gapcoin,21-10-2014,83,83696866795217590024310014816552667002527672187982547563211675250347088919220114361,
3250,C??,17.049479,,Gapcoin,21-10-2014,83,61084968553316543073931841268501996995942781487337146274120506792104046643040517453,
3342,C??,17.496580,,Gapcoin,21-10-2014,83,89959070869467601894998758065329147463774865321228197042495892329015605800380052317,
3120,C??,16.350948,,Gapcoin,21-10-2014,83,74085558686559120994714105959170785789768308898447854300134452034344342951368723299,
3224,C??,16.869887,,Gapcoin,21-10-2014,83,99520128116806241707586987400821628638733654306510921233115218366275686221593549703,
